date,user_id
2025-07-07,U00001
2025-07-09,U00001
2025-07-14,U00001
2025-07-16,U00001
2025-07-16,U00001
2025-07-26,U00001
2025-06-26,U00002
2025-07-01,U00002
2025-07-01,U00002
2025-07-08,U00002
2025-07-17,U00002
2025-06-05,U00003
2025-06-22,U00003
2025-06-27,U00003
2025-06-30,U00003
2025-07-09,U00003
2025-06-27,U00004
2025-06-29,U00004
2025-07-04,U00004
2025-07-08,U00004
2025-07-08,U00004
2025-07-20,U00004
2025-06-30,U00005
2025-07-10,U00005
2025-07-12,U00005
2025-07-12,U00005
2025-07-13,U00005
2025-07-14,U00005
2025-07-19,U00005
2025-07-20,U00005
2025-06-23,U00006
2025-06-29,U00006
2025-07-07,U00006
2025-07-13,U00006
2025-07-15,U00007
2025-07-17,U00007
2025-07-21,U00007
2025-07-25,U00007
2025-07-27,U00007
2025-07-27,U00007
2025-07-28,U00007
2025-05-25,U00008
2025-06-12,U00008
2025-06-13,U00008
2025-06-14,U00008
2025-06-20,U00008
2025-05-17,U00009
2025-07-19,U00010
2025-07-20,U00010
2025-07-20,U00010
2025-07-26,U00010
2025-07-27,U00010
2025-07-29,U00010
2025-07-29,U00010
2025-08-01,U00010
2025-08-20,U00010
2025-05-20,U00011
2025-05-31,U00011
2025-06-17,U00011
2025-06-18,U00011
2025-06-22,U00011
2025-05-17,U00012
2025-07-04,U00013
2025-07-06,U00013
2025-07-06,U00013
2025-07-06,U00013
2025-07-08,U00013
2025-07-14,U00013
2025-07-15,U00013
2025-07-16,U00013
2025-07-22,U00013
2025-07-24,U00013
2025-05-20,U00014
2025-06-05,U00014
2025-06-05,U00014
2025-06-12,U00014
2025-07-24,U00015
2025-07-28,U00015
2025-07-06,U00016
2025-07-08,U00016
2025-07-09,U00016
2025-07-09,U00016
2025-07-16,U00016
2025-07-18,U00016
2025-07-18,U00016
2025-07-19,U00016
2025-07-25,U00016
2025-07-14,U00017
2025-07-17,U00017
2025-07-20,U00017
2025-07-25,U00017
2025-07-11,U00018
2025-07-12,U00018
2025-07-13,U00018
2025-07-15,U00018
2025-07-18,U00018
2025-07-20,U00018
2025-07-23,U00018
2025-07-25,U00018
2025-07-26,U00018
2025-07-27,U00018
2025-05-29,U00019
2025-06-05,U00019
2025-06-10,U00019
2025-06-11,U00019
2025-06-12,U00019
2025-06-12,U00019
2025-06-16,U00019
2025-06-23,U00019
2025-06-30,U00019
2025-07-03,U00019
2025-06-05,U00020
2025-06-09,U00020
2025-06-09,U00020
2025-06-23,U00020
2025-07-04,U00020
2025-07-08,U00020
2025-07-08,U00020
2025-07-09,U00020
2025-07-14,U00021
2025-07-14,U00021
2025-07-15,U00021
2025-07-17,U00021
2025-07-25,U00021
2025-07-26,U00021
2025-07-11,U00022
2025-07-13,U00022
2025-07-26,U00022
2025-07-09,U00023
2025-07-14,U00023
2025-07-22,U00023
2025-07-24,U00023
2025-07-26,U00023
2025-07-16,U00024
2025-07-19,U00024
2025-07-25,U00024
2025-07-30,U00024
2025-07-09,U00025
2025-07-09,U00025
2025-07-21,U00025
2025-05-30,U00026
2025-06-03,U00026
2025-06-04,U00026
2025-06-07,U00026
2025-06-11,U00026
2025-06-17,U00026
2025-06-27,U00026
2025-07-05,U00026
2025-07-07,U00026
2025-05-20,U00027
2025-05-20,U00027
2025-06-03,U00027
2025-06-08,U00027
2025-06-22,U00027
2025-06-22,U00027
2025-06-23,U00027
2025-08-20,U00027
2025-05-20,U00028
2025-06-08,U00028
2025-06-13,U00028
2025-06-04,U00029
2025-06-14,U00029
2025-06-26,U00029
2025-06-12,U00030
2025-06-24,U00030
2025-06-26,U00030
2025-06-29,U00030
2025-05-24,U00031
2025-06-11,U00031
2025-07-17,U00032
2025-07-21,U00032
2025-07-21,U00032
2025-07-22,U00032
2025-07-28,U00032
2025-07-29,U00032
